5-STAR ARTIFACTS  (grouped by set, ordered Flower>Plume>Sands>Goblet>Circlet)
=============================================================================================
ID        Slot     Name                                             MainStat         Substats
54531     Circlet  Tiny Miracle's Earrings                          Any              1
54532     Circlet  Tiny Miracle's Earrings                          Any              2
54533     Circlet  Tiny Miracle's Earrings                          Any              3
54534     Circlet  Tiny Miracle's Earrings                          Any              4

55540     Flower   Berserker's Rose                                 Flat HP          0
55541     Flower   Berserker's Rose                                 Flat HP          1
55542     Flower   Berserker's Rose                                 Flat HP          2
55543     Flower   Berserker's Rose                                 Flat HP          3
23524     Flower   Berserker's Rose                                 Flat HP          4
55544     Flower   Berserker's Rose                                 Flat HP          4
55520     Plume    Berserker's Indigo Feather                       Flat ATK         0
55521     Plume    Berserker's Indigo Feather                       Flat ATK         1
55522     Plume    Berserker's Indigo Feather                       Flat ATK         2
55523     Plume    Berserker's Indigo Feather                       Flat ATK         3
23522     Plume    Berserker's Indigo Feather                       Flat ATK         4
55524     Plume    Berserker's Indigo Feather                       Flat ATK         4
23525     Sands    Berserker's Timepiece                            ATK%             4
55550     Sands    Berserker's Timepiece                            Any              0
55551     Sands    Berserker's Timepiece                            Any              1
55552     Sands    Berserker's Timepiece                            Any              2
55553     Sands    Berserker's Timepiece                            Any              3
55554     Sands    Berserker's Timepiece                            Any              4
23521     Goblet   Berserker's Bone Goblet                          ATK%             4
55510     Goblet   Berserker's Bone Goblet                          Any              0
55511     Goblet   Berserker's Bone Goblet                          Any              1
55512     Goblet   Berserker's Bone Goblet                          Any              2
55513     Goblet   Berserker's Bone Goblet                          Any              3
55514     Goblet   Berserker's Bone Goblet                          Any              4
55530     Circlet  Berserker's Battle Mask                          Any              0
55531     Circlet  Berserker's Battle Mask                          Any              1
55532     Circlet  Berserker's Battle Mask                          Any              2
55533     Circlet  Berserker's Battle Mask                          Any              3
55534     Circlet  Berserker's Battle Mask                          Any              4
23523     Circlet  Berserker's Battle Mask                          CRIT DMG         4

56540     Flower   Martial Artist's Red Flower                      Flat HP          0
56541     Flower   Martial Artist's Red Flower                      Flat HP          1
56542     Flower   Martial Artist's Red Flower                      Flat HP          2
56543     Flower   Martial Artist's Red Flower                      Flat HP          3
56544     Flower   Martial Artist's Red Flower                      Flat HP          4
56520     Plume    Martial Artist's Feather Accessory               Flat ATK         0
56521     Plume    Martial Artist's Feather Accessory               Flat ATK         1
56522     Plume    Martial Artist's Feather Accessory               Flat ATK         2
56523     Plume    Martial Artist's Feather Accessory               Flat ATK         3
56524     Plume    Martial Artist's Feather Accessory               Flat ATK         4
56550     Sands    Martial Artist's Water Hourglass                 Any              0
56551     Sands    Martial Artist's Water Hourglass                 Any              1
56552     Sands    Martial Artist's Water Hourglass                 Any              2
56553     Sands    Martial Artist's Water Hourglass                 Any              3
56554     Sands    Martial Artist's Water Hourglass                 Any              4
56510     Goblet   Martial Artist's Wine Cup                        Any              0
56511     Goblet   Martial Artist's Wine Cup                        Any              1
56512     Goblet   Martial Artist's Wine Cup                        Any              2
56513     Goblet   Martial Artist's Wine Cup                        Any              3
56514     Goblet   Martial Artist's Wine Cup                        Any              4
56530     Circlet  Martial Artist's Bandana                         Any              0
56531     Circlet  Martial Artist's Bandana                         Any              1
56532     Circlet  Martial Artist's Bandana                         Any              2
56533     Circlet  Martial Artist's Bandana                         Any              3
56534     Circlet  Martial Artist's Bandana                         Any              4

57540     Flower   Instructor's Brooch                              Flat HP          0
57541     Flower   Instructor's Brooch                              Flat HP          1
57542     Flower   Instructor's Brooch                              Flat HP          2
57543     Flower   Instructor's Brooch                              Flat HP          3
23514     Flower   Instructor's Brooch                              Flat HP          4
57544     Flower   Instructor's Brooch                              Flat HP          4
57520     Plume    Instructor's Feather Accessory                   Flat ATK         0
57521     Plume    Instructor's Feather Accessory                   Flat ATK         1
57522     Plume    Instructor's Feather Accessory                   Flat ATK         2
57523     Plume    Instructor's Feather Accessory                   Flat ATK         3
23512     Plume    Instructor's Feather Accessory                   Flat ATK         4
57524     Plume    Instructor's Feather Accessory                   Flat ATK         4
57550     Sands    Instructor's Pocket Watch                        Any              0
57551     Sands    Instructor's Pocket Watch                        Any              1
57552     Sands    Instructor's Pocket Watch                        Any              2
57553     Sands    Instructor's Pocket Watch                        Any              3
57554     Sands    Instructor's Pocket Watch                        Any              4
23515     Sands    Instructor's Pocket Watch                        Elemental Mastery 4
57510     Goblet   Instructor's Tea Cup                             Any              0
57511     Goblet   Instructor's Tea Cup                             Any              1
57512     Goblet   Instructor's Tea Cup                             Any              2
57513     Goblet   Instructor's Tea Cup                             Any              3
57514     Goblet   Instructor's Tea Cup                             Any              4
23511     Goblet   Instructor's Tea Cup                             Elemental Mastery 4
57530     Circlet  Instructor's Cap                                 Any              0
57531     Circlet  Instructor's Cap                                 Any              1
57532     Circlet  Instructor's Cap                                 Any              2
57533     Circlet  Instructor's Cap                                 Any              3
57534     Circlet  Instructor's Cap                                 Any              4
23513     Circlet  Instructor's Cap                                 Elemental Mastery 4

58540     Flower   Gambler's Brooch                                 Flat HP          0
58541     Flower   Gambler's Brooch                                 Flat HP          1
58542     Flower   Gambler's Brooch                                 Flat HP          2
58543     Flower   Gambler's Brooch                                 Flat HP          3
58544     Flower   Gambler's Brooch                                 Flat HP          4
58520     Plume    Gambler's Feather Accessory                      Flat ATK         0
58521     Plume    Gambler's Feather Accessory                      Flat ATK         1
58522     Plume    Gambler's Feather Accessory                      Flat ATK         2
58523     Plume    Gambler's Feather Accessory                      Flat ATK         3
58524     Plume    Gambler's Feather Accessory                      Flat ATK         4
58550     Sands    Gambler's Pocket Watch                           Any              0
58551     Sands    Gambler's Pocket Watch                           Any              1
58552     Sands    Gambler's Pocket Watch                           Any              2
58553     Sands    Gambler's Pocket Watch                           Any              3
58554     Sands    Gambler's Pocket Watch                           Any              4
58510     Goblet   Gambler's Dice Cup                               Any              0
58511     Goblet   Gambler's Dice Cup                               Any              1
58512     Goblet   Gambler's Dice Cup                               Any              2
58513     Goblet   Gambler's Dice Cup                               Any              3
58514     Goblet   Gambler's Dice Cup                               Any              4
58530     Circlet  Gambler's Earrings                               Any              0
58531     Circlet  Gambler's Earrings                               Any              1
58532     Circlet  Gambler's Earrings                               Any              2
58533     Circlet  Gambler's Earrings                               Any              3
58534     Circlet  Gambler's Earrings                               Any              4

59540     Flower   Exile's Flower                                   Flat HP          0
59541     Flower   Exile's Flower                                   Flat HP          1
59542     Flower   Exile's Flower                                   Flat HP          2
59543     Flower   Exile's Flower                                   Flat HP          3
59544     Flower   Exile's Flower                                   Flat HP          4
59520     Plume    Exile's Feather                                  Flat ATK         0
59521     Plume    Exile's Feather                                  Flat ATK         1
59522     Plume    Exile's Feather                                  Flat ATK         2
59523     Plume    Exile's Feather                                  Flat ATK         3
59524     Plume    Exile's Feather                                  Flat ATK         4
59550     Sands    Exile's Pocket Watch                             Any              0
59551     Sands    Exile's Pocket Watch                             Any              1
59552     Sands    Exile's Pocket Watch                             Any              2
59553     Sands    Exile's Pocket Watch                             Any              3
59554     Sands    Exile's Pocket Watch                             Any              4
59510     Goblet   Exile's Goblet                                   Any              0
59511     Goblet   Exile's Goblet                                   Any              1
59512     Goblet   Exile's Goblet                                   Any              2
59513     Goblet   Exile's Goblet                                   Any              3
59514     Goblet   Exile's Goblet                                   Any              4
59530     Circlet  Exile's Circlet                                  Any              0
59531     Circlet  Exile's Circlet                                  Any              1
59532     Circlet  Exile's Circlet                                  Any              2
59533     Circlet  Exile's Circlet                                  Any              3
59534     Circlet  Exile's Circlet                                  Any              4

62540     Flower   Scholar's Bookmark                               Flat HP          0
62541     Flower   Scholar's Bookmark                               Flat HP          1
62542     Flower   Scholar's Bookmark                               Flat HP          2
62543     Flower   Scholar's Bookmark                               Flat HP          3
62544     Flower   Scholar's Bookmark                               Flat HP          4
62520     Plume    Scholar's Quill Pen                              Flat ATK         0
62521     Plume    Scholar's Quill Pen                              Flat ATK         1
62522     Plume    Scholar's Quill Pen                              Flat ATK         2
62523     Plume    Scholar's Quill Pen                              Flat ATK         3
62524     Plume    Scholar's Quill Pen                              Flat ATK         4
62550     Sands    Scholar's Clock                                  Any              0
62551     Sands    Scholar's Clock                                  Any              1
62552     Sands    Scholar's Clock                                  Any              2
62553     Sands    Scholar's Clock                                  Any              3
62554     Sands    Scholar's Clock                                  Any              4
62510     Goblet   Scholar's Ink Cup                                Any              0
62511     Goblet   Scholar's Ink Cup                                Any              1
62512     Goblet   Scholar's Ink Cup                                Any              2
62513     Goblet   Scholar's Ink Cup                                Any              3
62514     Goblet   Scholar's Ink Cup                                Any              4
62530     Circlet  Scholar's Lens                                   Any              0
62531     Circlet  Scholar's Lens                                   Any              1
62532     Circlet  Scholar's Lens                                   Any              2
62533     Circlet  Scholar's Lens                                   Any              3
62534     Circlet  Scholar's Lens                                   Any              4

71540     Flower   Snowswept Memory                                 Flat HP          0
71541     Flower   Snowswept Memory                                 Flat HP          1
71542     Flower   Snowswept Memory                                 Flat HP          2
71543     Flower   Snowswept Memory                                 Flat HP          3
23454     Flower   Snowswept Memory                                 Flat HP          4
24134     Flower   Snowswept Memory                                 Flat HP          4
24184     Flower   Snowswept Memory                                 Flat HP          4
71544     Flower   Snowswept Memory                                 Flat HP          4
71520     Plume    Icebreaker's Resolve                             Flat ATK         0
71521     Plume    Icebreaker's Resolve                             Flat ATK         1
71522     Plume    Icebreaker's Resolve                             Flat ATK         2
71523     Plume    Icebreaker's Resolve                             Flat ATK         3
23452     Plume    Icebreaker's Resolve                             Flat ATK         4
24132     Plume    Icebreaker's Resolve                             Flat ATK         4
24182     Plume    Icebreaker's Resolve                             Flat ATK         4
71524     Plume    Icebreaker's Resolve                             Flat ATK         4
23455     Sands    Frozen Homeland's Demise                         ATK%             4
24135     Sands    Frozen Homeland's Demise                         ATK%             4
24185     Sands    Frozen Homeland's Demise                         ATK%             4
71550     Sands    Frozen Homeland's Demise                         Any              0
71551     Sands    Frozen Homeland's Demise                         Any              1
71552     Sands    Frozen Homeland's Demise                         Any              2
71553     Sands    Frozen Homeland's Demise                         Any              3
71554     Sands    Frozen Homeland's Demise                         Any              4
71510     Goblet   Frost-Weaved Dignity                             Any              0
71511     Goblet   Frost-Weaved Dignity                             Any              1
71512     Goblet   Frost-Weaved Dignity                             Any              2
71513     Goblet   Frost-Weaved Dignity                             Any              3
71514     Goblet   Frost-Weaved Dignity                             Any              4
23451     Goblet   Frost-Weaved Dignity                             Cryo DMG         4
24131     Goblet   Frost-Weaved Dignity                             Cryo DMG         4
24181     Goblet   Frost-Weaved Dignity                             Cryo DMG         4
71530     Circlet  Broken Rime's Echo                               Any              0
71531     Circlet  Broken Rime's Echo                               Any              1
71532     Circlet  Broken Rime's Echo                               Any              2
71533     Circlet  Broken Rime's Echo                               Any              3
71534     Circlet  Broken Rime's Echo                               Any              4
23453     Circlet  Broken Rime's Echo                               CRIT DMG         4
24133     Circlet  Broken Rime's Echo                               CRIT DMG         4
24183     Circlet  Broken Rime's Echo                               CRIT DMG         4
23458     Circlet  Broken Rime's Echo                               CRIT Rate        4

72540     Flower   Thundersoother's Heart                           Flat HP          0
72541     Flower   Thundersoother's Heart                           Flat HP          1
72542     Flower   Thundersoother's Heart                           Flat HP          2
72543     Flower   Thundersoother's Heart                           Flat HP          3
23444     Flower   Thundersoother's Heart                           Flat HP          4
72544     Flower   Thundersoother's Heart                           Flat HP          4
72520     Plume    Thundersoother's Plume                           Flat ATK         0
72521     Plume    Thundersoother's Plume                           Flat ATK         1
72522     Plume    Thundersoother's Plume                           Flat ATK         2
72523     Plume    Thundersoother's Plume                           Flat ATK         3
23442     Plume    Thundersoother's Plume                           Flat ATK         4
72524     Plume    Thundersoother's Plume                           Flat ATK         4
23445     Sands    Hour of Soothing Thunder                         ATK%             4
72550     Sands    Hour of Soothing Thunder                         Any              0
72551     Sands    Hour of Soothing Thunder                         Any              1
72552     Sands    Hour of Soothing Thunder                         Any              2
72553     Sands    Hour of Soothing Thunder                         Any              3
72554     Sands    Hour of Soothing Thunder                         Any              4
72510     Goblet   Thundersoother's Goblet                          Any              0
72511     Goblet   Thundersoother's Goblet                          Any              1
72512     Goblet   Thundersoother's Goblet                          Any              2
72513     Goblet   Thundersoother's Goblet                          Any              3
72514     Goblet   Thundersoother's Goblet                          Any              4
23441     Goblet   Thundersoother's Goblet                          Electro DMG      4
72530     Circlet  Thundersoother's Diadem                          Any              0
72531     Circlet  Thundersoother's Diadem                          Any              1
72532     Circlet  Thundersoother's Diadem                          Any              2
72533     Circlet  Thundersoother's Diadem                          Any              3
72534     Circlet  Thundersoother's Diadem                          Any              4
23443     Circlet  Thundersoother's Diadem                          CRIT Rate        4

73540     Flower   Lavawalker's Resolution                          Flat HP          0
73541     Flower   Lavawalker's Resolution                          Flat HP          1
73542     Flower   Lavawalker's Resolution                          Flat HP          2
73543     Flower   Lavawalker's Resolution                          Flat HP          3
23434     Flower   Lavawalker's Resolution                          Flat HP          4
73544     Flower   Lavawalker's Resolution                          Flat HP          4
73520     Plume    Lavawalker's Salvation                           Flat ATK         0
73521     Plume    Lavawalker's Salvation                           Flat ATK         1
73522     Plume    Lavawalker's Salvation                           Flat ATK         2
73523     Plume    Lavawalker's Salvation                           Flat ATK         3
23432     Plume    Lavawalker's Salvation                           Flat ATK         4
73524     Plume    Lavawalker's Salvation                           Flat ATK         4
23435     Sands    Lavawalker's Torment                             ATK%             4
73550     Sands    Lavawalker's Torment                             Any              0
73551     Sands    Lavawalker's Torment                             Any              1
73552     Sands    Lavawalker's Torment                             Any              2
73553     Sands    Lavawalker's Torment                             Any              3
73554     Sands    Lavawalker's Torment                             Any              4
73510     Goblet   Lavawalker's Epiphany                            Any              0
73511     Goblet   Lavawalker's Epiphany                            Any              1
73512     Goblet   Lavawalker's Epiphany                            Any              2
73513     Goblet   Lavawalker's Epiphany                            Any              3
73514     Goblet   Lavawalker's Epiphany                            Any              4
23431     Goblet   Lavawalker's Epiphany                            Pyro DMG         4
73530     Circlet  Lavawalker's Wisdom                              Any              0
73531     Circlet  Lavawalker's Wisdom                              Any              1
73532     Circlet  Lavawalker's Wisdom                              Any              2
73533     Circlet  Lavawalker's Wisdom                              Any              3
73534     Circlet  Lavawalker's Wisdom                              Any              4
23433     Circlet  Lavawalker's Wisdom                              CRIT Rate        4

74540     Flower   Maiden's Distant Love                            Flat HP          0
74541     Flower   Maiden's Distant Love                            Flat HP          1
74542     Flower   Maiden's Distant Love                            Flat HP          2
74543     Flower   Maiden's Distant Love                            Flat HP          3
23424     Flower   Maiden's Distant Love                            Flat HP          4
23464     Flower   Maiden's Distant Love                            Flat HP          4
23474     Flower   Maiden's Distant Love                            Flat HP          4
24284     Flower   Maiden's Distant Love                            Flat HP          4
24794     Flower   Maiden's Distant Love                            Flat HP          4
74544     Flower   Maiden's Distant Love                            Flat HP          4
74520     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         0
74521     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         1
74522     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         2
74523     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         3
23422     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
23462     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
23472     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
24282     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
24792     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
74524     Plume    Maiden's Heart-Stricken Infatuation              Flat ATK         4
23425     Sands    Maiden's Passing Youth                           ATK%             4
24285     Sands    Maiden's Passing Youth                           ATK%             4
74550     Sands    Maiden's Passing Youth                           Any              0
74551     Sands    Maiden's Passing Youth                           Any              1
74552     Sands    Maiden's Passing Youth                           Any              2
74553     Sands    Maiden's Passing Youth                           Any              3
74554     Sands    Maiden's Passing Youth                           Any              4
23475     Sands    Maiden's Passing Youth                           DEF%             4
23430     Sands    Maiden's Passing Youth                           HP%              4
23465     Sands    Maiden's Passing Youth                           HP%              4
24795     Sands    Maiden's Passing Youth                           HP%              4
23421     Goblet   Maiden's Fleeting Leisure                        ATK%             4
24281     Goblet   Maiden's Fleeting Leisure                        ATK%             4
74510     Goblet   Maiden's Fleeting Leisure                        Any              0
74511     Goblet   Maiden's Fleeting Leisure                        Any              1
74512     Goblet   Maiden's Fleeting Leisure                        Any              2
74513     Goblet   Maiden's Fleeting Leisure                        Any              3
74514     Goblet   Maiden's Fleeting Leisure                        Any              4
23471     Goblet   Maiden's Fleeting Leisure                        DEF%             4
23426     Goblet   Maiden's Fleeting Leisure                        HP%              4
23461     Goblet   Maiden's Fleeting Leisure                        HP%              4
24791     Goblet   Maiden's Fleeting Leisure                        HP%              4
74530     Circlet  Maiden's Fading Beauty                           Any              0
74531     Circlet  Maiden's Fading Beauty                           Any              1
74532     Circlet  Maiden's Fading Beauty                           Any              2
74533     Circlet  Maiden's Fading Beauty                           Any              3
74534     Circlet  Maiden's Fading Beauty                           Any              4
23423     Circlet  Maiden's Fading Beauty                           Healing Bonus    4
23463     Circlet  Maiden's Fading Beauty                           Healing Bonus    4
23473     Circlet  Maiden's Fading Beauty                           Healing Bonus    4
24283     Circlet  Maiden's Fading Beauty                           Healing Bonus    4
24793     Circlet  Maiden's Fading Beauty                           Healing Bonus    4

99540     Flower   Lord of Wind over Firmament's Flower             Flat HP          0
99541     Flower   Lord of Wind over Firmament's Flower             Flat HP          1
99542     Flower   Lord of Wind over Firmament's Flower             Flat HP          2
99543     Flower   Lord of Wind over Firmament's Flower             Flat HP          3
99544     Flower   Lord of Wind over Firmament's Flower             Flat HP          4
99520     Plume    Lord of Wind over Firmament's Feather            Flat ATK         0
99521     Plume    Lord of Wind over Firmament's Feather            Flat ATK         1
99522     Plume    Lord of Wind over Firmament's Feather            Flat ATK         2
99523     Plume    Lord of Wind over Firmament's Feather            Flat ATK         3
99524     Plume    Lord of Wind over Firmament's Feather            Flat ATK         4
99550     Sands    Lord of Wind over Firmament's Hourglass          Any              0
99551     Sands    Lord of Wind over Firmament's Hourglass          Any              1
99552     Sands    Lord of Wind over Firmament's Hourglass          Any              2
99553     Sands    Lord of Wind over Firmament's Hourglass          Any              3
99554     Sands    Lord of Wind over Firmament's Hourglass          Any              4
99510     Goblet   Lord of Wind over Firmament's Cup                Any              0
99511     Goblet   Lord of Wind over Firmament's Cup                Any              1
99512     Goblet   Lord of Wind over Firmament's Cup                Any              2
99513     Goblet   Lord of Wind over Firmament's Cup                Any              3
99514     Goblet   Lord of Wind over Firmament's Cup                Any              4
99530     Circlet  Lord of Wind over Firmament's Crown              Any              0
99531     Circlet  Lord of Wind over Firmament's Crown              Any              1
99532     Circlet  Lord of Wind over Firmament's Crown              Any              2
99533     Circlet  Lord of Wind over Firmament's Crown              Any              3
99534     Circlet  Lord of Wind over Firmament's Crown              Any              4

75540     Flower   Gladiator's Nostalgia                            Flat HP          0
75541     Flower   Gladiator's Nostalgia                            Flat HP          1
75542     Flower   Gladiator's Nostalgia                            Flat HP          2
75543     Flower   Gladiator's Nostalgia                            Flat HP          3
23414     Flower   Gladiator's Nostalgia                            Flat HP          4
24124     Flower   Gladiator's Nostalgia                            Flat HP          4
24244     Flower   Gladiator's Nostalgia                            Flat HP          4
24334     Flower   Gladiator's Nostalgia                            Flat HP          4
24344     Flower   Gladiator's Nostalgia                            Flat HP          4
24354     Flower   Gladiator's Nostalgia                            Flat HP          4
24364     Flower   Gladiator's Nostalgia                            Flat HP          4
24764     Flower   Gladiator's Nostalgia                            Flat HP          4
75544     Flower   Gladiator's Nostalgia                            Flat HP          4
75520     Plume    Gladiator's Destiny                              Flat ATK         0
75521     Plume    Gladiator's Destiny                              Flat ATK         1
75522     Plume    Gladiator's Destiny                              Flat ATK         2
75523     Plume    Gladiator's Destiny                              Flat ATK         3
23412     Plume    Gladiator's Destiny                              Flat ATK         4
24102     Plume    Gladiator's Destiny                              Flat ATK         4
24322     Plume    Gladiator's Destiny                              Flat ATK         4
24332     Plume    Gladiator's Destiny                              Flat ATK         4
24342     Plume    Gladiator's Destiny                              Flat ATK         4
24352     Plume    Gladiator's Destiny                              Flat ATK         4
24362     Plume    Gladiator's Destiny                              Flat ATK         4
24742     Plume    Gladiator's Destiny                              Flat ATK         4
24752     Plume    Gladiator's Destiny                              Flat ATK         4
24762     Plume    Gladiator's Destiny                              Flat ATK         4
75524     Plume    Gladiator's Destiny                              Flat ATK         4
23415     Sands    Gladiator's Longing                              ATK%             4
24125     Sands    Gladiator's Longing                              ATK%             4
24245     Sands    Gladiator's Longing                              ATK%             4
24335     Sands    Gladiator's Longing                              ATK%             4
24355     Sands    Gladiator's Longing                              ATK%             4
24365     Sands    Gladiator's Longing                              ATK%             4
24765     Sands    Gladiator's Longing                              ATK%             4
75550     Sands    Gladiator's Longing                              Any              0
75551     Sands    Gladiator's Longing                              Any              1
75552     Sands    Gladiator's Longing                              Any              2
75553     Sands    Gladiator's Longing                              Any              3
75554     Sands    Gladiator's Longing                              Any              4
24345     Sands    Gladiator's Longing                              Energy Recharge  4
23411     Goblet   Gladiator's Intoxication                         ATK%             4
24101     Goblet   Gladiator's Intoxication                         ATK%             4
24321     Goblet   Gladiator's Intoxication                         ATK%             4
24341     Goblet   Gladiator's Intoxication                         ATK%             4
24361     Goblet   Gladiator's Intoxication                         ATK%             4
24351     Goblet   Gladiator's Intoxication                         Anemo DMG        4
75510     Goblet   Gladiator's Intoxication                         Any              0
75511     Goblet   Gladiator's Intoxication                         Any              1
75512     Goblet   Gladiator's Intoxication                         Any              2
75513     Goblet   Gladiator's Intoxication                         Any              3
75514     Goblet   Gladiator's Intoxication                         Any              4
24751     Goblet   Gladiator's Intoxication                         Electro DMG      4
24741     Goblet   Gladiator's Intoxication                         Geo DMG          4
23416     Goblet   Gladiator's Intoxication                         Physical DMG     4
24761     Goblet   Gladiator's Intoxication                         Physical DMG     4
24331     Goblet   Gladiator's Intoxication                         Pyro DMG         4
75530     Circlet  Gladiator's Triumphus                            Any              0
75531     Circlet  Gladiator's Triumphus                            Any              1
75532     Circlet  Gladiator's Triumphus                            Any              2
75533     Circlet  Gladiator's Triumphus                            Any              3
75534     Circlet  Gladiator's Triumphus                            Any              4
23418     Circlet  Gladiator's Triumphus                            CRIT DMG         4
24123     Circlet  Gladiator's Triumphus                            CRIT DMG         4
